ticker,shares
SNA,57016853
WDAY,164431787
BC,90420928
AU,424693168
ALG,12034058
LMB,7968180
FORD,9594981
SLF,612080109
AQB,21720065
HL,509490765
VERU,64297041
BST,23113937
HBMD,19690943
MRVL,666242219
FMNB,28965196
CLH,56295334
PLAY,36674832
ANTE,13115194
PAGS,165794033
SSBI,5986578
PNI,11321850
EW,208641323
MYL,522502314
TSLF,7517505
HCM,1372341901
SABR,275498224
GDDY,180101971
RVNC,44181930
APHA,252105336
FFHL,3332915
TKKS,32756434
MOGO,24621350
CYRN,56122621
APWC,13857410
HRTX,81952435
HMSY,87346936
MASI,54830501
SG,119629639
BBL,1092976620
IMMP,34208765
ACCO,106118475
EPZM,92947447
MDC,62892699
RXN,110265992
ATH,159685737
SAP,1243813986
URI,81718390
GPC,150093771
CBAN,8756359
IRTC,24699949
HHC,43599921
MNK,87629904
ALV,90137263
FFBW,6789737
JCI,936947215
TSE,41414944
SSD,45309418
CNI,730378483
HNP,119027951
LCUT,21803159
BV,105781734
CLCT,9437228
ABBV,1489656690
CUBE,194727400
ARTX,27286150
CAI,17993512
PDCE,66638171
GEF,26657030
COUP,62910320
SNN,453783893
BBVA,6726688190
COG,424763206
KOPN,79829228
PRPH,11807189
SRDX,13570844
RQI,110505402
CLDT,48175992
CBNK,14321554
VGR,141495586
PFG,290225655
CSBR,12065766
APYX,34146722
MELI,49993402
RMR,15935675
COMM,196972756
USFD,225061572
MOFG,12526720
JACK,26888790
FCN,39625421
ESTC,75593711
CRM,787308473
MGA,324671953
CXDC,53334191
OSIS,18840938
JE,153609031
SGRY,50755761
RFP,93173996
CTSH,587561744
EYE,78270448
CXO,207029662
STM,933199836
HLI,39758187
EXTR,122934939
ZS,128797156
PRFT,34579218
FEI,49037247
TUP,50371542
TWTR,784367825
CULP,12884070
TOWN,75256930
GRVY,6984037
AVXL,51170180
GRFS,268696239
EVBG,34019121
TRV,273421873
BSVN,10294104
SFE,21165839
TRCO,90245887
MCHX,39446780
FISI,16532287
MEIP,74252215
EAST,9330206
BPRN,6785384
OPBK,16387934
PVG,184559575
KAMN,28256791
WRI,132720028
MOBL,108853210
HOME,66445283
EHC,99626842
PFIE,49090496
OFIX,19475527
PAAS,217695578
AROC,136294142
MFL,38748334
OMC,221093559
RGA,64977999
HGV,91635546
PLAB,69404000
CEPU,156369487
FLMN,46622509
UMRX,31287786
CLNE,210251141
PPL,733743365
NGM,68221934
TRST,97892555
NUE,312403116
CLRO,16782976
NWFL,6548890
FSLY,11401816
TYG,55601569
EB,37400487
AMRX,118702214
KRNY,95271624
PETX,50838945
ARWR,94817413
GDOT,55540250
ZSAN,17806886
KELYA,36412396
SHIP,8079973
VVI,21059272
EAT,38266742
INVH,529131369
SWAV,28632448
SLDB,35462515
